FieldVisitID,ParkID,Transect,TransectID,PointID,Year,Month,Day,SampleNumber,Time,Method,TrackNumber,Project,Temperature,Sky,Wind,Recorder,Microphone,SoundQuality,Observer,ObserverComments,Transcriber,TranscriberComments
810,WLNP,Prairie Trail,,577,2007,6,13,1,09:20,Recording,11,EI Monitoring,11.7,clear,1.5,,,Moderate,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
811,WLNP,Prairie Trail,,578,2007,6,13,1,09:45,Recording,12,EI Monitoring,12.9,clear,3.8,,,Moderate,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
812,WLNP,Prairie Trail,,579,2007,6,13,1,08:40,Recording,11,EI Monitoring,22.8,clear,4.3,,,Moderate,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
813,WLNP,Prairie Trail,,580,2007,6,13,1,09:25,Recording,8,EI Monitoring,20,overcast,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
814,WLNP,Prairie Trail,,581,2007,6,13,1,08:30,Recording,6,EI Monitoring,18.1,overcast,1.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
815,WLNP,Prairie Trail,,582,2007,6,13,1,07:55,Recording,5,EI Monitoring,18.1,clear,2.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
816,WLNP,Prairie Trail,,583,2007,6,14,1,05:20,Recording,1,EI Monitoring,10.5,overcast,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
817,WLNP,Prairie Trail,,584,2007,6,14,1,05:45,Recording,2,EI Monitoring,10.5,broken,1.1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
818,WLNP,Wishbone Trail,,33,2007,6,4,1,06:10,Recording,3,EI Monitoring,11.8,clear,1.6,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,"unk 37, in unknowns"
819,WLNP,Wishbone Trail,,34,2007,6,4,1,05:20,Recording,1,EI Monitoring,16.5,overcast,4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
820,WLNP,Wishbone Trail,,35,2007,6,4,1,05:46,Recording,2,EI Monitoring,13.9,overcast,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
821,WLNP,Wishbone Trail,,36,2007,6,4,1,06:11,Recording,3,EI Monitoring,15.1,overcast,1.3,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
822,WLNP,Wishbone Trail,,37,2007,6,4,1,06:33,Recording,4,EI Monitoring,16,broken,4.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
823,WLNP,Wishbone Trail,,38,2007,6,4,1,07:05,Recording,5,EI Monitoring,14.1,broken,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,Cculd be more than 3 in this flock
824,WLNP,Wishbone Trail,,39,2007,6,4,1,07:28,Recording,6,EI Monitoring,15.2,broken,3.7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
825,WLNP,Wishbone Trail,,40,2007,6,4,1,07:49,Recording,7,EI Monitoring,16.5,broken,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
826,WLNP,Wishbone Trail,,60,2007,7,5,1,08:11,Recording,8,EI Monitoring,18.5,scattered,1.2,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
827,WLNP,Wishbone Trail,,61,2007,7,5,1,05:45,Recording,6,EI Monitoring,7,clear,3.6,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
828,WLNP,Sofa Mountain,,25,2007,6,15,1,06:08,Recording,7,EI Monitoring,4.6,clear,1.7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
829,WLNP,Sofa Mountain,,26,2007,6,15,1,09:37,Recording,11,EI Monitoring,18.7,clear,-1.#IND,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
830,WLNP,Sofa Mountain,,27,2007,6,15,1,09:57,Recording,12,EI Monitoring,18.2,clear,5.4,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,ground squirrel call overtop of Killdeer
831,WLNP,Sofa Mountain,,28,2007,6,6,1,07:07,Recording,8,EI Monitoring,6.8,broken,1.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
832,WLNP,Sofa Mountain,,29,2007,6,6,1,07:48,Recording,10,EI Monitoring,9.6,broken,3.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
833,WLNP,Sofa Mountain,,30,2007,6,14,1,08:10,Recording,11,EI Monitoring,10.4,broken,1.8,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
834,WLNP,Sofa Mountain,,31,2007,6,6,1,08:34,Recording,12,EI Monitoring,10.8,broken,3.4,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
835,WLNP,Sofa Mountain,,32,2007,6,14,1,09:00,Recording,1,EI Monitoring,10.7,broken,1.7,,,Moderate,"D'Astous, Amelie & Boutin, Dany",wind average is likely wrong because the 'kestrel' fell on the ground durring the recording.,Cam Gillies,var1
836,WLNP,Sofa Mountain,,80,2007,6,14,1,09:25,Recording,2,EI Monitoring,11.5,broken,3.6,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
837,WLNP,Sofa Mountain,,81,2007,6,14,1,05:11,Recording,1,EI Monitoring,5.1,broken,2.8,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
838,WLNP,Yarrow Cabin Trail,,567,2007,6,20,1,05:45,Recording,2,EI Monitoring,9.2,scattered,2.7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
839,WLNP,Yarrow Cabin Trail,,568,2007,6,20,1,05:06,Recording,1,EI Monitoring,11.9,clear,1.1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
840,WLNP,Yarrow Cabin Trail,,569,2007,6,20,1,05:35,Recording,2,EI Monitoring,8.8,clear,0.9,,,Good,"D'Astous, Amelie & Boutin, Dany",2 AMRO seen at 6 min,Cam Gillies,
841,WLNP,Yarrow Cabin Trail,,570,2007,6,20,1,06:06,Recording,3,EI Monitoring,8.9,clear,1.1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
842,WLNP,Yarrow Cabin Trail,,571,2007,6,20,1,06:38,Recording,4,EI Monitoring,11.7,clear,0,,,Good,"D'Astous, Amelie, Boutin, Dany, & Smith, Cyndi",,Cam Gillies,
843,WLNP,Yarrow Cabin Trail,,572,2007,6,20,1,07:00,Recording,5,EI Monitoring,12.1,clear,0,,,Good,"D'Astous, Amelie, Boutin, Dany, & Smith, Cyndi",,Cam Gillies,
844,WLNP,Yarrow Cabin Trail,,573,2007,6,20,1,07:23,Recording,6,EI Monitoring,14.8,clear,0,,,Good,"D'Astous, Amelie, Boutin, Dany, & Smith, Cyndi",,Cam Gillies,
845,WLNP,Yarrow Cabin Trail,,574,2007,6,20,1,07:46,Recording,7,EI Monitoring,14,clear,0,,,Good,"D'Astous, Amelie, Boutin, Dany, & Smith, Cyndi",,Cam Gillies,
846,WLNP,Yarrow Cabin Trail,,590,2007,6,20,1,08:25,Recording,10,EI Monitoring,16.1,clear,0,,,Good,"D'Astous, Amelie, Boutin, Dany, & Smith, Cyndi",,Cam Gillies,
847,WLNP,Yarrow Cabin Trail,,591,2007,6,20,1,05:30,Recording,1,EI Monitoring,12.7,clear,0,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
848,WLNP,Cameron Lake,,1,2007,6,21,1,05:50,Recording,2,EI Monitoring,11.4,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
849,WLNP,Cameron Lake,,3,2007,6,21,1,08:45,Recording,9,EI Monitoring,9,overcast,1.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,call at 6.11
850,WLNP,Cameron Lake,,4,2007,6,22,1,09:24,Recording,11,EI Monitoring,8.9,overcast,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
851,WLNP,Cameron Lake,,5,2007,7,3,1,10:00,Recording,12,EI Monitoring,12.3,overcast,2.1,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
852,WLNP,Cameron Lake,,6,2007,6,21,1,06:43,Recording,4,EI Monitoring,10.5,broken,2.3,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
853,WLNP,Cameron Lake,,124,2007,7,3,1,08:50,Recording,9,EI Monitoring,10.3,overcast,3.6,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
854,WLNP,Summit Lake,,9,2007,6,22,1,06:55,Recording,3,EI Monitoring,9.188888889,clear,4.6,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,"unk59, in unknowns"
855,WLNP,Summit Lake,,11,2007,6,22,1,07:45,Recording,7,EI Monitoring,9.5,overcast,3.7,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
856,WLNP,Summit Lake,,12,2007,6,22,1,08:30,Recording,7,EI Monitoring,13.6,scattered,3.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
857,WLNP,Summit Lake,,15,2007,6,28,1,08:04,Recording,6,EI Monitoring,9.8,scattered,2.9,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
858,WLNP,Summit Lake,,16,2007,6,28,1,07:45,Recording,5,EI Monitoring,14.1,scattered,2.2,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
859,WLNP,Summit Lake,,120,2007,6,28,1,09:35,Recording,11,EI Monitoring,18.6,clear,1.2,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
860,WLNP,Summit Lake,,121,2007,6,28,1,05:05,Recording,1,EI Monitoring,7.4,clear,1,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
861,WLNP,Summit Lake,,122,2007,6,28,1,05:33,Recording,2,EI Monitoring,8.2,clear,2.2,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
862,WLNP,Summit Lake,,123,2007,7,3,1,05:50,Recording,3,EI Monitoring,7.7,clear,2.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
863,WLNP,Summit Lake,,125,2007,6,22,1,06:12,Recording,4,EI Monitoring,6.8,clear,2.3,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
864,WLNP,Summit Lake,,126,2007,6,28,1,06:35,Recording,5,EI Monitoring,8.1,clear,4.7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
865,WLNP,Summit Lake,,127,2007,6,28,1,06:55,Recording,6,EI Monitoring,6.8,clear,3.1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
866,WLNP,Summit Lake,,128,2007,6,28,1,07:17,Recording,7,EI Monitoring,8.4,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
867,WLNP,Summit Lake,,129,2007,6,28,1,07:40,Recording,8,EI Monitoring,14.4,clear,1.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
868,WLNP,Cardston Entrance,,550,2007,6,27,1,08:10,Recording,9,EI Monitoring,17.3,clear,1.3,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,var 1
869,WLNP,Cardston Entrance,,551,2007,6,27,1,07:25,Recording,3,EI Monitoring,10.4,clear,1.8,,,Moderate,"D'Astous, Amelie & Boutin, Dany",x,Cam Gillies,x
870,WLNP,Cardston Entrance,,552,2007,6,27,1,07:50,Recording,5,EI Monitoring,9.3,clear,1.6,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
871,WLNP,Cardston Entrance,,553,2007,6,27,1,07:50,Recording,4,EI Monitoring,10.7,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,var 1
872,WLNP,Cardston Entrance,,554,2007,6,29,1,07:45,Recording,4,EI Monitoring,11,scattered,1.7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,var 1
873,WLNP,Cardston Entrance,,555,2007,6,29,1,07:25,Recording,4,EI Monitoring,11.8,clear,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
874,WLNP,Cardston Entrance,,556,2007,6,29,1,08:45,Recording,6,EI Monitoring,12.3,clear,1.3,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
875,WLNP,Cardston Entrance,,557,2007,6,29,1,09:35,Recording,8,EI Monitoring,14.5,broken,2.1,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
876,WLNP,Lower Rowe Trail,,106,2007,7,4,1,09:55,Recording,9,EI Monitoring,18.9,clear,1.2,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
877,WLNP,Lower Rowe Trail,,107,2007,7,4,1,07:45,Recording,5,EI Monitoring,14.5,scattered,0.9,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
878,WLNP,Lower Rowe Trail,,108,2007,7,4,1,08:05,Recording,6,EI Monitoring,16,broken,1.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
879,WLNP,Lower Rowe Trail,,109,2007,7,4,1,08:30,Recording,7,EI Monitoring,19.7,broken,0,,,Good,"D'Astous, Amelie & Boutin, Dany",recording paused at 7.39 for 1 minute a hiker passed by,Cam Gillies,
880,WLNP,Lower Rowe Trail,,110,2007,6,25,1,09:40,Recording,7,EI Monitoring,14.1,clear,7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
881,WLNP,Lower Rowe Trail,,111,2007,6,26,1,10:15,Recording,10,EI Monitoring,16,clear,2.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
882,WLNP,Lower Rowe Trail,,112,2007,6,26,1,05:45,Recording,1,EI Monitoring,6.2,scattered,2.2,,,Poor,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
883,WLNP,Lower Rowe Trail,,113,2007,6,26,1,06:15,Recording,2,EI Monitoring,9.4,clear,1.5,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
884,WLNP,Lower Rowe Trail,,114,2007,6,26,1,09:15,Recording,9,EI Monitoring,21,scattered,1.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
885,WLNP,Lower Rowe Trail,,115,2007,6,26,1,09:45,Recording,10,EI Monitoring,19.7,scattered,2.9,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
886,WLNP,Lower Rowe Trail,,116,2007,6,26,1,07:00,Recording,3,EI Monitoring,9.4,broken,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,also at 9.15
887,WLNP,Lower Rowe Trail,,117,2007,6,26,1,07:20,Recording,4,EI Monitoring,10.3,broken,2,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
888,WLNP,Lower Rowe Trail,,118,2007,6,26,1,09:05,Recording,7,EI Monitoring,10.8,broken,1.1,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
889,WLNP,Lower Rowe Trail,,119,2007,6,26,1,05:00,Recording,1,EI Monitoring,4,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,"unk 11, unknown call notes"
890,WLNP,Lower Rowe Trail,,900,2007,7,4,1,05:25,Recording,2,EI Monitoring,0,clear,1.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,good at 5.55
891,WLNP,Crandell Lake,,100,2007,6,29,1,06:00,Recording,3,EI Monitoring,3.3,clear,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
892,WLNP,Crandell Lake,,101,2007,6,29,1,06:25,Recording,4,EI Monitoring,3.8,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,also at 9:51
893,WLNP,Crandell Lake,,102,2007,7,5,1,05:10,Recording,1,EI Monitoring,9.4,broken,1.2,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,good at 9:26
894,WLNP,Crandell Lake,,103,2007,7,3,1,05:30,Recording,2,EI Monitoring,10.1,broken,1.7,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,"unk25, in the unknowns"
895,WLNP,Crandell Lake,,104,2007,7,3,1,05:50,Recording,3,EI Monitoring,9.1,broken,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,also at 8:38
896,WLNP,Crandell Lake,,105,2007,7,3,1,06:15,Recording,4,EI Monitoring,11.7,broken,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
2356,WLNP,Lower Mount Crandell,,18,2008,6,17,1,05:18,Recording,1,EI Monitoring,3,clear,0,,,,Dany Boutin,% humidity = 80.0. Other observers = TK.,Theresa Hannah,
2357,WLNP,Lower Mount Crandell,,18,2009,6,8,1,06:05,Recording,3,EI Monitoring,2.2,Scattered,0.9,,,,Stephanie Crowshoe,"Humidity 73.0%, other observers Doug MacNearney and Jon Stuart-Smith, rams butting heads on mountain",Theresa Hannah,
2358,WLNP,Lower Mount Crandell,,19,2008,6,17,1,05:37,Recording,2,EI Monitoring,7.7,clear,2.4,,,,Dany Boutin,% humidity = 69.4. Other observers = TK.,Theresa Hannah,
2359,WLNP,Lower Mount Crandell,,19,2009,6,8,1,06:25,Recording,4,EI Monitoring,1.8,Scattered,1,,,,Stephanie Crowshoe,"Humidity 85.8%, other observers Doug MacNearney and Jon Stuart-Smith",Theresa Hannah,
2360,WLNP,Lower Mount Crandell,,20,2008,6,17,1,06:00,Recording,3,EI Monitoring,12.9,clear,1.3,,,,Dany Boutin,% humidity = 51.3. Other observers = TK.,Theresa Hannah,
2361,WLNP,Lower Mount Crandell,,20,2008,7,7,1,05:04,Recording,1,EI Monitoring,7.9,clear,2.3,,,,Dany Boutin,% humidity = 87.0. Other observers = TK.,Theresa Hannah,
2362,WLNP,Lower Mount Crandell,,20,2009,6,8,1,06:45,Recording,5,EI Monitoring,2.7,Scattered,0,,,,Stephanie Crowshoe,"Humidity 88.9%, other observers Doug MacNearney and Jon Stuart-Smith, deer close by during last half of recording",Theresa Hannah,
2363,WLNP,Lower Mount Crandell,,21,2008,7,7,1,05:25,Recording,2,EI Monitoring,8.9,clear,1.6,,,,Dany Boutin,% humidity = 86.1. Other observers = TK.,Theresa Hannah,
2364,WLNP,Lower Mount Crandell,,21,2008,7,8,1,05:13,Recording,1,EI Monitoring,9.6,clear,0,,,,Dany Boutin,% humidity = 88.3. Other observers = TK.,Theresa Hannah,4.14 WOLVES
2365,WLNP,Lower Mount Crandell,,21,2009,6,8,1,07:05,Recording,6,EI Monitoring,2.8,Scattered,0,,,,Stephanie Crowshoe,"Humidity 91.9%, other observers Doug MacNearney and Jon Stuart-Smith",Theresa Hannah,
2366,WLNP,Lower Mount Crandell,,22,2008,7,7,1,05:54,Recording,3,EI Monitoring,6.3,clear,0,,,,Dany Boutin,% humidity = 93.1. Other observers = TK.,Theresa Hannah,
2367,WLNP,Lower Mount Crandell,,22,2009,6,8,1,07:30,Recording,7,EI Monitoring,2,Overcast,0,,,,Stephanie Crowshoe,"Humidity 96.0%, other observers Doug MacNearney and Jon Stuart-Smith",Theresa Hannah,
2368,WLNP,Lower Mount Crandell,,23,2008,7,7,1,06:15,Recording,0,EI Monitoring,8.6,clear,1.5,,,,Dany Boutin,% humidity = 80.5. Other observers = TK.,Theresa Hannah,
2369,WLNP,Lower Mount Crandell,,23,2009,6,8,1,07:50,Recording,8,EI Monitoring,3.5,Overcast,0,,,,Stephanie Crowshoe,"Humidity 84.9%, other observers Doug MacNearney and Jon Stuart-Smith, radio went off twice, started sprinkling in the last few minutes",Theresa Hannah,
2370,WLNP,Lower Mount Crandell,,24,2008,7,7,1,06:33,Recording,5,EI Monitoring,10.1,clear,1.1,,,,Dany Boutin,% humidity = 81.9. Other observers = TK.,Theresa Hannah,
2371,WLNP,Lower Mount Crandell,,24,2008,7,8,1,05:38,Recording,2,EI Monitoring,7.3,clear,1.7,,,,Dany Boutin,% humidity = 89.6. Other observers = TK.,Theresa Hannah,
2372,WLNP,Lower Mount Crandell,,24,2009,6,8,1,08:10,Recording,9,EI Monitoring,3.4,overcast,0,,,,Stephanie Crowshoe,"Humidity 89.9%, other observers Doug MacNearney and Jon Stuart-Smith",Theresa Hannah,
2373,WLNP,Lower Mount Crandell,,70,2008,6,17,1,06:38,Recording,4,EI Monitoring,15.8,clear,1.2,,,,Dany Boutin,% humidity = 43.8. Other observers = TK.,Theresa Hannah,
2374,WLNP,Lower Mount Crandell,,70,2008,7,7,1,06:58,Recording,6,EI Monitoring,14.5,clear,2.1,,,,Dany Boutin,% humidity = 66.3. Other observers = TK.,Theresa Hannah,
2375,WLNP,Lower Mount Crandell,,70,2008,7,8,1,06:00,Recording,3,EI Monitoring,3.7,clear,1.3,,,,Dany Boutin,% humidity = 91.7. Other observers = TK.,Theresa Hannah,
2376,WLNP,Lower Mount Crandell,,70,2009,6,8,1,08:40,Recording,10,EI Monitoring,4,overcast,0,,,,Stephanie Crowshoe,"Humidity 91.4%, other observers Doug MacNearney and Jon Stuart-Smith, raining lightly throughout recording",Theresa Hannah,
2377,WLNP,Lower Mount Crandell,,71,2008,7,7,1,07:19,Recording,7,EI Monitoring,15.8,clear,3.7,,,,Dany Boutin,% humidity = 58.0. Other observers = TK.,Theresa Hannah,
2378,WLNP,Lower Mount Crandell,,71,2008,7,8,1,06:20,Recording,4,EI Monitoring,4.6,clear,1.2,,,,Dany Boutin,% humidity = 88.5. Other observers = TK.,Theresa Hannah,
2379,WLNP,Lower Mount Crandell,,71,2009,6,8,1,09:00,Recording,11,EI Monitoring,2.8,overcast,2,,,,Stephanie Crowshoe,"Humidity 88.4%, other observers Doug MacNearney and Jon Stuart-Smith",Theresa Hannah,
2380,WLNP,Horseshoe Basin,,41,2008,6,19,1,05:45,Recording,2,EI Monitoring,7,clear,2.2,,,,Dany Boutin,% humidity = 61.9. Other observers = TK.,Theresa Hannah,
2381,WLNP,Horseshoe Basin,,41,2009,6,9,1,05:50,Recording,1,EI Monitoring,3.5,scattered,0,,,,Stephanie Crowshoe,"Humidity 63.1%, other observers Doug MacNearney",Theresa Hannah,
2382,WLNP,Horseshoe Basin,,42,2008,6,19,1,06:05,Recording,3,EI Monitoring,6.1,clear,1.3,,,,Dany Boutin,% humidity = 71.8. Other observers = TK.,Theresa Hannah,
2383,WLNP,Horseshoe Basin,,42,2009,6,9,1,06:15,Recording,2,EI Monitoring,-0.1,scattered,0,,,,Stephanie Crowshoe,"Humidity 100.0%, other observers Doug MacNearney",Theresa Hannah,
2384,WLNP,Horseshoe Basin,,43,2008,6,19,1,06:25,Recording,4,EI Monitoring,7.8,clear,1,,,,Dany Boutin,% humidity = 69.6. Other observers = TK.,Theresa Hannah,
2385,WLNP,Horseshoe Basin,,43,2008,6,23,1,05:20,Recording,2,EI Monitoring,10.3,clear,2.5,,,,Dany Boutin,% humidity = 59.4. Other observers = TK.,Theresa Hannah,
